DFCI.11-104.13 Tumor,,,,,,,,,,,,,,
CRPC,,,,,,,,,,,,,,
Lymph Node ,,,,,,,,,,,,,,
,ZXDB,1,,,,,,,,,,,,
,ZXDA,1,,,,,,,,,,,,
,ZRSR2,1,,,,,,,,,,,,
,ZNF81,1,,,,,,,,,,,,
,ZNF674,1,,,,,,,,,,,,
,ZNF645,1,,,,,,,,,,,,
,ZNF630,1,,,,,,,,,,,,
,ZNF41,1,,,,,,,,,,,,
,ZNF365,1,,,,,,,,,,,,
,ZNF182,1,,,,,,,,,,,,
,ZNF157,1,,,,,,,,,,,,
,ZFX,1,,,,,,,,,,,,
,ZC4H2,1,,,,,,,,,,,,
,ZC3H12B,1,,,,,,,,,,,,
,YY2,1,,,,,,,,,,,,
,YIPF6,1,,,,,,,,,,,,
,XK,1,,,,,,,,,,,,
,XG,1,,,,,,,,,,,,
,XAGE5,1,,,,,,,,,,,,
,XAGE3,1,,,,,,,,,,,,
,XAGE2B,1,,,,,,,,,,,,
,XAGE2,1,,,,,,,,,,,,
,XAGE1E,1,,,,,,,,,,,,
,XAGE1B,1,,,,,,,,,,,,
,WWC3,1,,,,,,,,,,,,
,WNK3,1,,,,,,,,,,,,
,WDR45,1,,,,,,,,,,,,
,WDR13,1,,,,,,,,,,,,
,WAS,1,,,,,,,,,,,,
,VSIG4,1,,,,,,,,,,,,
,VENTXP1,1,,,,,,,,,,,,
,VCX3B,1,,,,,,,,,,,,
,VCX3A,1,,,,,,,,,,,,
,VCX2,1,,,,,,,,,,,,
,VCX,1,,,,,,,,,,,,
,UXT,1,,,,,,,,,,,,
,USP9X,1,,,,,,,,,,,,
,USP51,1,,,,,,,,,,,,
,USP27X,1,,,,,,,,,,,,
,USP11,1,,,,,,,,,,,,
,UQCRBP1,1,,,,,,,,,,,,
,UBQLN2,1,,,,,,,,,,,,
,UBA1,1,,,,,,,,,,,,
,TXLNG,1,,,,,,,,,,,,
,TTTY5,1,,,,,,,,,,,,
,TTTY13,1,,,,,,,,,,,,
,TSR2,1,,,,,,,,,,,,
,TSPYL2,1,,,,,,,,,,,,
,TSPAN7,1,,,,,,,,,,,,
,TRO,1,,,,,,,,,,,,
,TRAPPC2,1,,,,,,,,,,,,
,TMSB4X,1,,,,,,,,,,,,
,TMEM47,1,,,,,,,,,,,,
,TMEM27,1,,,,,,,,,,,,
,TMEM26,1,,,,,,,,,,,,
,TM4SF20,1,,,,,,,,,,,,
,TLR8-AS1,1,,,,,,,,,,,,
